COMMENT,kmp_n_234_min_2_max_468_run_ps
SORT_BY,234
468,234
467,234
466,234
465,234
464,234
463,234
462,234
461,234
460,234
459,234
458,234
457,234
456,234
455,234
454,234
453,234
452,234
451,234
450,234
449,234
448,234
447,234
446,234
445,234
444,234
443,234
442,234
441,234
440,234
439,234
438,234
437,234
436,234
435,234
434,234
433,234
432,234
431,234
430,234
429,234
428,234
427,234
426,234
425,234
424,234
423,234
422,234
421,234
420,234
419,234
418,234
417,234
416,234
415,234
414,234
413,234
412,234
411,234
410,234
409,234
408,234
407,234
406,234
405,234
404,234
403,234
402,234
401,234
400,234
399,234
398,234
397,234
396,234
395,234
394,234
393,234
392,234
391,234
390,234
389,234
388,234
387,234
386,234
385,234
384,234
383,234
382,234
381,234
380,234
379,234
378,234
377,234
376,234
375,234
374,234
373,234
372,234
371,234
370,234
369,234
368,234
367,234
366,234
365,234
364,234
363,234
362,234
361,234
360,234
359,234
358,234
357,234
356,234
355,234
354,234
353,234
352,234
351,234
350,234
349,234
348,234
347,234
346,234
345,234
344,234
343,234
342,234
341,234
340,234
339,234
338,234
337,234
336,234
335,234
334,234
333,234
332,234
331,234
330,234
329,234
328,234
327,234
326,234
325,234
324,234
323,234
322,234
321,234
320,234
319,234
318,234
317,234
316,234
315,234
314,234
313,234
312,234
311,234
310,234
309,234
308,234
307,234
306,234
305,234
304,234
303,234
302,234
301,234
300,234
299,234
298,234
297,234
296,234
295,234
294,234
293,234
292,234
291,234
290,234
289,234
288,234
287,234
286,234
285,234
284,234
283,234
282,234
281,234
280,234
279,234
278,234
277,234
276,234
275,234
274,234
273,234
272,234
271,234
270,234
269,234
268,234
267,234
266,234
265,234
264,234
263,234
262,234
261,234
260,234
259,234
258,234
257,234
256,234
255,234
254,234
253,234
252,234
251,234
250,234
249,234
248,234
247,234
246,234
245,234
244,234
243,234
242,234
241,234
240,234
239,234
238,234
237,234
236,234
235,234
234,234
233,234
232,235
231,236
230,237
229,238
228,239
227,240
226,241
225,242
224,243
223,244
222,245
221,246
220,247
219,248
218,249
217,250
216,251
215,252
214,253
213,254
212,255
211,256
210,257
209,258
208,259
207,260
206,261
205,262
204,263
203,264
202,265
201,266
200,267
199,268
198,269
197,270
196,271
195,272
194,273
193,274
192,275
191,276
190,277
189,278
188,279
187,280
186,281
185,282
184,283
183,284
182,285
181,286
180,287
179,288
178,289
177,290
176,291
175,292
174,293
173,294
172,295
171,296
170,297
169,298
168,299
167,300
166,301
165,302
164,303
163,304
162,305
161,306
160,307
159,308
158,309
157,310
156,311
155,312
154,313
153,314
152,315
151,316
150,317
149,318
148,319
147,320
146,321
145,322
144,323
143,324
142,325
141,326
140,327
139,328
138,329
137,330
136,331
135,332
134,333
133,334
132,335
131,336
130,337
129,338
128,339
127,340
126,341
125,342
124,343
123,344
122,345
121,346
120,347
119,348
118,349
117,350
116,352
115,355
114,358
113,361
112,364
111,367
110,370
109,373
108,376
107,379
106,382
105,385
104,388
103,391
102,394
101,397
100,400
99,403
98,406
97,409
96,412
95,415
94,418
93,421
92,424
91,427
90,430
89,433
88,436
87,439
86,442
85,445
84,448
83,451
82,454
81,457
80,460
79,463
78,466
77,471
76,477
75,483
74,489
73,495
72,501
71,507
70,513
69,519
68,525
67,531
66,537
65,543
64,549
63,555
62,561
61,567
60,573
59,579
58,586
57,596
56,606
55,616
54,626
53,636
52,646
51,656
50,666
49,676
48,686
47,696
46,709
45,724
44,739
43,754
42,769
41,784
40,799
39,814
38,834
37,855
36,876
35,897
34,918
33,941
32,969
31,997
30,1025
29,1054
28,1090
27,1126
26,1162
25,1206
24,1251
23,1299
22,1354
21,1411
20,1477
19,1548
18,1626
17,1716
16,1816
15,1929
14,2058
13,2206
12,2381
11,2586
10,2833
9,3134
8,3511
7,3996
6,4642
5,5547
4,6904
3,9166
2,13690
1,27262
